"state","year","shootings_total","shootings_black","shootings_white","shootings_other","pop_total","pop_black","pop_white","pop_other","rate_total","rate_black","rate_white","rate_other","control_totpop","control_blackshare","yr_2015","yr_2016","yr_2017","yr_2018","yr_2019","yr_2020","region"
"FL",2020,72,19,26,27,21299325,3736443,16721748,841134,3.38038881513851e-06,8.92047048439328e-07,1.22069596102224e-06,1.26764580567694e-06,21299325,0.175425418411147,0,0,0,0,0,1,"south"
"GA",2015,29,10,17,2,10519475,3499496,6466753,553226,2.7567915699215e-06,9.50617782731553e-07,1.61605023064364e-06,1.90123556546311e-07,10519475,0.332668312819794,1,0,0,0,0,0,"south"
"GA",2016,26,10,10,6,10519475,3499496,6466753,553226,2.47160623510204e-06,9.50617782731553e-07,9.50617782731553e-07,5.70370669638932e-07,10519475,0.332668312819794,0,1,0,0,0,0,"south"
"GA",2017,29,9,17,3,10519475,3499496,6466753,553226,2.7567915699215e-06,8.55556004458397e-07,1.61605023064364e-06,2.85185334819466e-07,10519475,0.332668312819794,0,0,1,0,0,0,"south"
"GA",2018,44,23,15,6,10519475,3499496,6466753,553226,4.18271824401883e-06,2.18642090028257e-06,1.42592667409733e-06,5.70370669638932e-07,10519475,0.332668312819794,0,0,0,1,0,0,"south"
"GA",2019,37,9,16,12,10519475,3499496,6466753,553226,3.51728579610674e-06,8.55556004458397e-07,1.52098845237048e-06,1.14074133927786e-06,10519475,0.332668312819794,0,0,0,0,1,0,"south"
"GA",2020,32,16,7,9,10519475,3499496,6466753,553226,3.04197690474097e-06,1.52098845237048e-06,6.65432447912087e-07,8.55556004458397e-07,10519475,0.332668312819794,0,0,0,0,0,1,"south"
"HI",2015,2,1,NA,1,1420492,43434,360646,1016412,1.40796287483492e-06,7.03981437417458e-07,NA,7.03981437417458e-07,1420492,0.0305767297527899,1,0,0,0,0,0,"west"
"HI",2016,6,NA,NA,6,1420492,43434,360646,1016412,4.22388862450475e-06,NA,NA,4.22388862450475e-06,1420492,0.0305767297527899,0,1,0,0,0,0,"west"
"HI",2017,3,NA,1,2,1420492,43434,360646,1016412,2.11194431225237e-06,NA,7.03981437417458e-07,1.40796287483492e-06,1420492,0.0305767297527899,0,0,1,0,0,0,"west"
"HI",2018,11,NA,1,10,1420492,43434,360646,1016412,7.74379581159204e-06,NA,7.03981437417458e-07,7.03981437417458e-06,1420492,0.0305767297527899,0,0,0,1,0,0,"west"
"HI",2019,7,NA,1,6,1420492,43434,360646,1016412,4.92787006192221e-06,NA,7.03981437417458e-07,4.22388862450475e-06,1420492,0.0305767297527899,0,0,0,0,1,0,"west"
"HI",2020,1,NA,NA,1,1420492,43434,360646,1016412,7.03981437417458e-07,NA,NA,7.03981437417458e-07,1420492,0.0305767297527899,0,0,0,0,0,1,"west"
"IA",2015,5,NA,5,NA,3156145,146954,2896007,113184,1.58421111831047e-06,NA,1.58421111831047e-06,NA,3156145,0.0465612321360394,1,0,0,0,0,0,"midwest"
"IA",2016,5,3,2,NA,3156145,146954,2896007,113184,1.58421111831047e-06,9.50526670986282e-07,6.33684447324188e-07,NA,3156145,0.0465612321360394,0,1,0,0,0,0,"midwest"
"IA",2017,5,1,4,NA,3156145,146954,2896007,113184,1.58421111831047e-06,3.16842223662094e-07,1.26736889464838e-06,NA,3156145,0.0465612321360394,0,0,1,0,0,0,"midwest"
"IA",2018,9,1,8,NA,3156145,146954,2896007,113184,2.85158001295885e-06,3.16842223662094e-07,2.53473778929675e-06,NA,3156145,0.0465612321360394,0,0,0,1,0,0,"midwest"
"IA",2019,5,1,4,NA,3156145,146954,2896007,113184,1.58421111831047e-06,3.16842223662094e-07,1.26736889464838e-06,NA,3156145,0.0465612321360394,0,0,0,0,1,0,"midwest"
"IA",2020,7,1,4,2,3156145,146954,2896007,113184,2.21789556563466e-06,3.16842223662094e-07,1.26736889464838e-06,6.33684447324188e-07,3156145,0.0465612321360394,0,0,0,0,0,1,"midwest"
"ID",2015,7,NA,6,1,1754208,22301,1660028,71879,3.99040478666156e-06,NA,3.42034695999562e-06,5.70057826665937e-07,1754208,0.0127128595924771,1,0,0,0,0,0,"west"
"ID",2016,6,NA,4,2,1754208,22301,1660028,71879,3.42034695999562e-06,NA,2.28023130666375e-06,1.14011565333187e-06,1754208,0.0127128595924771,0,1,0,0,0,0,"west"
"ID",2017,6,NA,4,2,1754208,22301,1660028,71879,3.42034695999562e-06,NA,2.28023130666375e-06,1.14011565333187e-06,1754208,0.0127128595924771,0,0,1,0,0,0,"west"
"ID",2018,13,1,10,2,1754208,22301,1660028,71879,7.41075174665718e-06,5.70057826665937e-07,5.70057826665937e-06,1.14011565333187e-06,1754208,0.0127128595924771,0,0,0,1,0,0,"west"
"ID",2019,7,NA,5,2,1754208,22301,1660028,71879,3.99040478666156e-06,NA,2.85028913332969e-06,1.14011565333187e-06,1754208,0.0127128595924771,0,0,0,0,1,0,"west"
"ID",2020,4,NA,2,2,1754208,22301,1660028,71879,2.28023130666375e-06,NA,1.14011565333187e-06,1.14011565333187e-06,1754208,0.0127128595924771,0,0,0,0,0,1,"west"
"IL",2015,21,13,5,3,12741080,1940291,9917646,883143,1.64821192551966e-06,1.02032166817884e-06,3.92431410838014e-07,2.35458846502808e-07,12741080,0.15228622691326,1,0,0,0,0,0,"midwest"
"IL",2016,26,15,9,2,12741080,1940291,9917646,883143,2.04064333635767e-06,1.17729423251404e-06,7.06376539508425e-07,1.56972564335205e-07,12741080,0.15228622691326,0,1,0,0,0,0,"midwest"
"IL",2017,20,10,6,4,12741080,1940291,9917646,883143,1.56972564335205e-06,7.84862821676027e-07,4.70917693005616e-07,3.13945128670411e-07,12741080,0.15228622691326,0,0,1,0,0,0,"midwest"
"IL",2018,20,10,7,3,12741080,1940291,9917646,883143,1.56972564335205e-06,7.84862821676027e-07,5.49403975173219e-07,2.35458846502808e-07,12741080,0.15228622691326,0,0,0,1,0,0,"midwest"
"IL",2019,13,8,1,4,12741080,1940291,9917646,883143,1.02032166817884e-06,6.27890257340822e-07,7.84862821676027e-08,3.13945128670411e-07,12741080,0.15228622691326,0,0,0,0,1,0,"midwest"
"IL",2020,9,4,1,4,12741080,1940291,9917646,883143,7.06376539508425e-07,3.13945128670411e-07,7.84862821676027e-08,3.13945128670411e-07,12741080,0.15228622691326,0,0,0,0,0,1,"midwest"
"IN",2015,19,6,11,2,6691878,713302,5763803,214773,2.83926276002043e-06,8.96609292638031e-07,1.64378370316972e-06,2.98869764212677e-07,6691878,0.106592200276215,1,0,0,0,0,0,"midwest"
"IN",2016,14,4,8,2,6691878,713302,5763803,214773,2.09208834948874e-06,5.97739528425354e-07,1.19547905685071e-06,2.98869764212677e-07,6691878,0.106592200276215,0,1,0,0,0,0,"midwest"
"IN",2017,19,7,11,1,6691878,713302,5763803,214773,2.83926276002043e-06,1.04604417474437e-06,1.64378370316972e-06,1.49434882106338e-07,6691878,0.106592200276215,0,0,1,0,0,0,"midwest"
"IN",2018,18,5,12,1,6691878,713302,5763803,214773,2.68982787791409e-06,7.47174410531692e-07,1.79321858527606e-06,1.49434882106338e-07,6691878,0.106592200276215,0,0,0,1,0,0,"midwest"
"IN",2019,16,3,11,2,6691878,713302,5763803,214773,2.39095811370142e-06,4.48304646319015e-07,1.64378370316972e-06,2.98869764212677e-07,6691878,0.106592200276215,0,0,0,0,1,0,"midwest"
"IN",2020,15,5,6,4,6691878,713302,5763803,214773,2.24152323159508e-06,7.47174410531692e-07,8.96609292638031e-07,5.97739528425354e-07,6691878,0.106592200276215,0,0,0,0,0,1,"midwest"
"KS",2015,9,NA,7,2,2911505,207156,2559361,144988,3.09118479961395e-06,NA,2.40425484414418e-06,6.86929955469766e-07,2911505,0.0711508309276474,1,0,0,0,0,0,"midwest"
"KS",2016,10,1,9,NA,2911505,207156,2559361,144988,3.43464977734883e-06,3.43464977734883e-07,3.09118479961395e-06,NA,2911505,0.0711508309276474,0,1,0,0,0,0,"midwest"
