city,state,pop_est_2019,pop_est_2010,pop_dens_2016_mi,pop_dens_2016_km
Little Rock,Arkansas,"197,312","193,524",1673,646
Tempe,Arizona,"195,805","161,719",4562,1761
Columbus,Georgia,"195,769","189,885",913,353
Overland Park,Kansas,"195,494","173,372",2516,971
Grand Prairie,Texas,"194,543","175,396",2637,1018
Tallahassee,Florida,"194,500","181,376",1901,734
Cape Coral,Florida,"194,495","154,305",1703,658
Mobile,Alabama,"188,720","195,111",1384,534
Knoxville,Tennessee,"187,603","178,874",1891,730
Shreveport,Louisiana,"187,112","199,311",1820,700
Worcester,Massachusetts,"185,428","181,045",4933,1905
Ontario,California,"185,010","163,924",3471,1340
Vancouver,Washington,"184,463","161,791",3728,1439
Sioux Falls,South Dakota,"183,793","153,888",2312,893
Chattanooga,Tennessee,"182,799","167,674",1241,479
Brownsville,Texas,"182,781","175,023",1387,536
Ft. Lauderdale,Florida,"182,437","165,521",5166,1995
Providence,Rhode Island,"179,883","178,042",9740,3760
Newport News,Virginia,"179,225","180,719",2631,1016
Rancho Cucamonga,California,"177,603","165,269",4413,1704
Santa Rosa,California,"176,753","167,815",4241,1637
Peoria,Arizona,"175,961","154,065",934,361
Oceanside,California,"175,742","167,086",4249,1641
Elk Grove,California,"174,775","153,015",4022,1553
Salem,Oregon,"174,365","154,637",3445,1330
Pembroke Pines,Florida,"173,591","154,019",5109,1973
Eugene,Oregon,"172,622","156,185",3777,1458
Garden Grove,California,"171,644","170,883",9714,3751
Cary,North Carolina,"170,282","135,234",2873,1109
Fort Collins,Colorado,"170,243","143,986",2943,1136
Corona,California,"169,868","152,374",4222,1630
Springfield,Missouri,"167,882","159,498",2033,785
Jackson,Mississippi,"160,628","173,514",1524,588
Alexandria,Virginia,"159,428","139,966",10387,4010
Hayward,California,"159,203","144,186",3493,1349
Clarksville,Tennessee,"158,146","132,929",1529,590
Lakewood,Colorado,"157,935","142,980",3599,1390
Lancaster,California,"157,601","156,633",1698,656
Salinas,California,"155,465","150,441",6662,2572
Palmdale,California,"155,079","152,750",1484,573
Hollywood,Florida,"154,817","140,768",5568,2150
Springfield,Massachusetts,"153,606","153,060",4830,1860
Macon,Georgia,"153,159","91,351",612,236
Kansas City,Kansas,"152,960","145,786",1216,470
Sunnyvale,California,"152,703","140,081",6944,2681
Pomona,California,"151,691","149,058",6630,2560
Killeen,Texas,"151,666","127,921",2680,1030
Escondido,California,"151,625","143,911",4087,1578
Pasadena,Texas,"151,227","149,043",3525,1361
Naperville,Illinois,"148,449","141,853",3802,1468
Bellevue,Washington,"148,164","122,363",4221,1630
Joliet,Illinois,"147,344","147,433",2302,889
Murfreesboro,Tennessee,"146,900","108,755",2360,910
Midland,Texas,"146,038","111,147",1809,698
Rockford,Illinois,"145,609","152,871",2325,898
Paterson,New Jersey,"145,233","146,199",17500,6800
Savannah,Georgia,"144,464","136,286",1417,547
Bridgeport,Connecticut,"144,399","144,229",9064,3500
Torrance,California,"143,592","145,438",7180,2770
McAllen,Texas,"143,268","129,877",2435,940
Syracuse,New York,"142,327","145,170",5735,2214
Surprise,Arizona,"141,664","117,517",1230,470
Denton,Texas,"141,541","113,383",1433,553
Roseville,California,"141,500","118,788",3085,1191
Thornton,Colorado,"141,464","118,772",3829,1478
Miramar,Florida,"141,191","122,041",4709,1818
Pasadena,California,"141,029","137,122",6176,2385
Mesquite,Texas,"140,937","139,824",3045,1176
Olathe,Kansas,"140,545","125,872",2225,859
Dayton,Ohio,"140,407","141,527",2522,974
Carrollton,Texas,"139,248","119,097",3674,1419
Waco,Texas,"139,236","124,805",1510,580
Orange,California,"138,669","136,416",5532,2136
Fullerton,California,"138,632","135,161",6282,2425
Charleston,South Carolina,"137,566","120,083",1233,476
West Valley City,Utah,"135,248","129,480",3847,1485
Visalia,California,"134,605","124,442",3495,1349
Hampton,Virginia,"134,510","137,436",2629,1015
Gainesville,Florida,"133,997","124,354",2112,815
Warren,Michigan,"133,943","134,056",3928,1517
Coral Springs,Florida,"133,759","121,096",5465,2110
Cedar Rapids,Iowa,"133,562","126,326",1852,715
Round Rock,Texas,"133,372","99,887",3396,1311
Sterling Heights,Michigan,"132,438","129,699",3628,1401
Kent,Washington,"132,319","92,411",3784,1461
Columbia,South Carolina,"131,674","129,272",1006,388
Santa Clara,California,"130,365","116,468",6845,2643
New Haven,Connecticut,"130,250","129,779",6948,2683
Stamford,Connecticut,"129,638","122,643",3434,1326
Concord,California,"129,295","122,067",4221,1630
Elizabeth,New Jersey,"129,216","124,969",10459,4038
Athens,Georgia,"126,913","115,452",1060,410
